DJI（互联网泡沫）,DJI（经济大萧条）,DJI（87年，可能得省略）,DJI（08年金融危机）,N225（房地产泡沫）,CHL（智利金融危机）,China（中国08年）,HK（9798年东南亚危机）,China（中国15年）
3234.1,96.36,817.74,10912.57,7150.95,409.66,1334.678955,2454.7,2074.418945
3272.8,95.98,813.58,10877.51,7137.59,412.08,1332.061035,2462.1,2115.229004
3257.6,95.59,804.92,10835.01,7200.77,412.45,1372.067017,2468.5,2119.941895
3255.6,95.15,793.49,10856.86,7222.14,408.69,1397.384033,2472.4,2102.86792
3225.4,95.11,784.56,10810.91,7248.13,405.65,1384.859009,2470.4,2104.931885
3245.1,93.6,781.53,10755.12,7251.88,407.55,1386.313965,2493.3,2098.702881
3251.6,90.73,775.9,10778.58,7246.8,410.03,1466.850952,2551.8,2098.808105
3276.8,92.04,778.15,10767.77,7244.78,410.03,1459.920044,2591.3,2105.61792
3246.7,93.08,775.73,10823.72,7255.85,407.72,1485.618042,2595.5,2131.687988
3246,91.25,771.74,10883.51,7296.08,402.19,1478.675049,2584.7,2128.302002
3224.7,91.11,779.02,10881.67,7289.98,397.39,1482.68103,2578.9,2132.758057
3230.3,91.95,786.3,10875.59,7315.33,385.89,1454.890991,2555,2114.447021
3280.6,93.51,778.67,10836.53,7293.28,361.07,1460.530029,2581.3,2115.98999
3280.2,93.02,776.94,10805.55,7267.52,367.4,1450.615967,2607.6,2101.580078
3282.4,93.15,770.7,10833.73,7249.42,377.71,1479.069946,2602.8,2066.208984
3257.8,93.07,771.57,10889.44,7285.03,375.94,1496.156982,2594.8,2058.943115
3283.3,93.48,772.44,10883.27,7279.41,367.73,1500.639038,2561.9,2062.346924
3269.5,92.47,763.34,10777.77,7215.12,352.99,1499.814941,2546.4,2068.879883
3267.7,92.24,764.12,10796.26,7254.01,348.96,1499.810059,2501.4,2104.427002
3275.3,92.06,772.44,10784.82,7322.06,345.24,1499.810059,2466.8,2117.045898
3290.3,92.93,769.92,10717.5,7291.31,346.46,1499.810059,2521.6,2114.0271
3268.6,92.92,774.34,10847.41,7288.41,350.34,1499.810059,2528.9,2105.999023
3241.5,92.97,775.38,10880.15,7278.44,351.82,1499.810059,2544,2105.72998
3221.6,93.97,770.96,10882.15,7264.11,344.02,1499.810059,2556.6,2071.509033
3215.1,94.63,768.62,10959.31,7239.9,332.66,1499.810059,2623.1,2069.066895
3231,93.9,778.85,11011.9,7261.53,327.15,1480.168945,2619.9,2079.272949
3208.6,94.17,782.66,11011.58,7261.49,331.01,1492.764038,2651,2047.889038
3208.6,94.88,777.81,11043.44,7207.22,326.98,1510.671021,2635.9,2055.418945
3235.9,94.65,775.99,10962.36,7165.52,316.88,1504.338013,2671.2,2030.290039
3236.4,94.96,774.43,10959.87,7135.91,311.63,1510.949951,2684.1,2014.724976
3256,95.26,765.16,10896.32,7157,316.97,1496.522949,2599,2016.982056
3254.3,96.53,761.69,10854.86,7121.65,332.37,1496.468018,2552,2008.922974
3261.4,96.69,753.29,10880.71,7100.81,337.17,1510.802979,2593.9,2030.31897
3276.4,96.76,752.69,10667.39,7095.26,339.78,1509.485962,2578.4,2015.610962
3272.1,96.13,749.31,10688.77,7111.23,335.58,1478.870972,2552.7,2027.384033
3261,94.64,749.05,10712.22,7121.66,332.06,1481.936035,2591.4,2017.463989
3259.4,95.69,750.95,10709.74,7120.24,329.32,1511.275024,2623.8,1991.165039
3267.7,94.84,756.24,10809.47,7146.53,333.43,1513.175049,2586,1973.522949
3231.4,96.36,748.35,10907.21,7155.58,328.86,1513.703979,2592,1963.488037
3235.2,96.69,742.12,10899.92,7137.12,330.4,1511.932007,2588.1,1980.116943
3235.5,97.05,743.33,10864.86,7134.39,328.57,1525.483032,2602.9,1959.766968
3249.3,96.25,746.45,10953.95,7094.03,328.46,1524.303955,2589.9,1975.142944
3234.1,96.51,747.31,10851.98,7081.19,319.48,1517.178955,2602.6,2031.906982
3249.1,96.81,742.72,10793.62,7068.73,319.29,1498.343018,2641.1,2029.237061
3275.5,97.11,746.79,10798.27,7059.41,320.46,1493.093018,2577.9,2061.785889
3213.6,97.37,750.87,10749.76,7044.87,321.51,1468.918945,2571.7,2083.77002
3181.4,97.07,750,10858.62,6986.39,322.74,1469.550049,2584,2074.704102
3225,96.93,758.58,10883.35,6956.52,324.23,1475.008057,2563,2082.726074
3255.4,96.51,759.96,10919.05,7124.33,324.23,1464.649048,2534.4,2061.476074
3269.9,96.82,762.56,10892.32,7120.39,325.62,1466.043945,2508.9,2150.625
3306.1,96.21,758.58,11028.39,7176.67,327.64,1469.274048,2532.6,2160.342041
3353.8,96.9,762.82,11058.97,7196.8,324.86,1459.891968,2538,2162.464111
3366.5,97.41,768.71,11120.68,7220.94,325.45,1469.959961,2533.6,2162.239014
3336.3,97.93,773.82,11115.32,7293.57,327.26,1464.540039,2533.3,2168.353027
3343.3,98.6,762.82,11069.06,7318.19,328.76,1474.656982,2506.8,2153.310059
3338.8,99.71,757.54,11137.17,7325.96,330.27,1477.765991,2491.2,2159.052979
3348.6,100.75,756.5,11069.22,7307.27,332.74,1462.400024,2490.2,2213.611084
3324.5,100.32,753.21,11061.85,7303.04,331.29,1456.270996,2516.2,2219.13208
3304.56,99.71,758.84,11097.55,7304.69,331.32,1499.347046,2528,2205.896973
3307.9,99.82,761.78,10993.41,7334.31,334.45,1491.94104,2520.5,2233.251953
3333.2,99.21,759.62,11053.53,7389.99,340.37,1510.578003,2513.7,2269.12793
3359.1,100.7,757.36,11025.51,7416.97,340.37,1522.546021,2488.9,2276.991943
3336.1,100.75,751.04,11021.59,7421.19,341.33,1521.319946,2496.7,2285.364014
3378.1,100.78,755.37,10958.59,7447.74,339.76,1511.729004,2516.2,2276.070068
3359.4,101.28,763.08,10980.69,7458.36,343.64,1521.128052,2546.8,2275.340088
3369.4,101.67,763.95,11005.74,7508.52,343.64,1515.131958,2568.3,2283.656982
3363.4,100.6,769.58,10972.28,7491.82,343.64,1520.551025,2590.4,2242.99707
3369.4,101.05,773.65,11076.34,7517.31,349.22,1543.67395,2587,2311.73999
3397.6,101.22,770.18,11076.02,7536.96,365.29,1551.180054,2609,2325.681885
3385.1,102.05,766.29,11151.34,7514.88,372.49,1576.859985,2640.8,2309.499023
3392,101.88,775.21,11209.77,7461.2,371.96,1616.072021,2647.4,2284.908936
3368.9,101.1,795.13,11253.24,7418.74,377.26,1631.469971,2672.7,2317.070068
3353.1,100.79,810.12,11279.65,7438.8,375.1,1606.23999,2699.6,2328.220947
3376,100.99,803.27,11274.53,7484.71,378.32,1613.604004,2693.5,2315.138916
3398,98.88,808.04,11235.47,7497.36,377.41,1603.077026,2718,2320.910889
3393.8,99.93,814.54,11317.43,7533.22,373.61,1571.713989,2719,2302.5979
3378.7,100.14,812.8,11270.29,7523.72,378.58,1568.692017,2683.6,2291.303955
3386.8,98.37,826.06,11279.97,7534.41,380.68,1541.959961,2703.7,2346.504883
3364.2,98.55,833.59,11250.11,7588.03,379.95,1503.589966,2712.2,2358.977051
3370.4,98.9,836.97,11154.54,7623.81,379.76,1487.146973,2707.6,2382.475098
